loan_id,customer_id,principal,interest_rate,loan_status,loan_type,origination_date
L001,C001,18000.00,8.50,performing,personal_loan,2021-06-15
L002,C002,25000.00,9.20,performing,personal_loan,2022-03-10
L003,C003,320000.00,3.10,performing,mortgage,2019-05-20
L004,C004,12000.00,11.50,non-performing,personal_loan,2022-08-01
L005,C005,8500.00,13.80,non-performing,personal_loan,2023-02-14
L006,C006,450000.00,2.75,performing,mortgage,2018-04-30
L007,C007,22000.00,7.80,performing,personal_loan,2021-11-22
L008,C008,680000.00,3.40,performing,mortgage,2020-01-15
L009,C009,15000.00,10.20,performing,personal_loan,2022-09-05
L010,C010,9000.00,12.90,non-performing,personal_loan,2023-05-18
L011,C011,200000.00,2.95,performing,mortgage,2020-07-08
L012,C012,35000.00,6.50,performing,personal_loan,2022-01-20
L013,C013,550000.00,3.25,performing,mortgage,2019-11-10
L014,C014,6500.00,14.00,non-performing,personal_loan,2023-07-22
L015,C015,8000000.00,3.20,performing,corporate_loan,2019-03-01
L016,C016,15000000.00,2.80,performing,corporate_loan,2018-06-15
L017,C017,5000000.00,4.50,performing,corporate_loan,2020-09-20
L018,C018,20000000.00,2.60,performing,corporate_loan,2017-12-01
L019,C019,3500000.00,3.80,non-performing,corporate_loan,2020-04-10
L020,C020,12000000.00,3.10,performing,corporate_loan,2018-08-25
L021,C023,2500000.00,4.20,performing,corporate_loan,2021-02-15
L022,C024,850000.00,3.60,performing,mortgage,2020-06-30
L023,C027,650000.00,3.90,performing,mortgage,2021-08-12
L024,C028,250000.00,7.50,performing,sme_facility,2021-03-25
L025,C029,180000.00,8.80,non-performing,sme_facility,2022-11-14
L026,C031,14000.00,7.20,performing,personal_loan,2022-04-10
L027,C032,5000000.00,3.10,performing,corporate_loan,2021-09-01
L028,C033,9000.00,13.50,non-performing,personal_loan,2023-02-20
L029,C034,1200000.00,2.95,performing,mortgage,2021-01-15
L030,C035,320000.00,6.80,non-performing,sme_facility,2022-10-05
L031,C036,75000.00,11.80,non-performing,sme_facility,2023-06-15
L032,C037,180000.00,4.20,performing,mortgage,2021-10-01
L033,C038,8500000.00,2.75,performing,corporate_loan,2019-06-01
L034,C039,950000.00,3.40,performing,mortgage,2020-09-15
L035,C040,22000.00,7.90,performing,personal_loan,2023-01-20
L036,C036,35000.00,12.50,non-performing,personal_loan,2023-08-01
